,WSO1_ID,station,som_key,Country,lon,lat
67090,480390,CAMPOSOLILLO,2133,Spain,-5.258369944060119,42.99076450129563
67091,480390,CAMPOSOLILLO,2251,Spain,-5.258369944060119,42.99076450129563
67092,480390,CAMPOSOLILLO,2194,Spain,-5.258369944060119,42.99076450129563
67093,480390,CAMPOSOLILLO,2310,Spain,-5.258369944060119,42.99076450129563
67094,480390,CAMPOSOLILLO,2193,Spain,-5.258369944060119,42.99076450129563
67097,480390,CAMPOSOLILLO,2191,Spain,-5.258369944060119,42.99076450129563
67099,480390,CAMPOSOLILLO,2252,Spain,-5.258369944060119,42.99076450129563
67100,480390,CAMPOSOLILLO,2250,Spain,-5.258369944060119,42.99076450129563
67101,480390,CAMPOSOLILLO,2192,Spain,-5.258369944060119,42.99076450129563
67102,480390,CAMPOSOLILLO,2135,Spain,-5.258369944060119,42.99076450129563
67122,480390,CAMPOSOLILLO,2303,Spain,-5.258369944060119,42.99076450129563
67127,493919,MORALES DEL REY,1469,Spain,-5.7841342935775435,42.091530013944606
67128,493919,MORALES DEL REY,1888,Spain,-5.7841342935775435,42.091530013944606
67129,493919,MORALES DEL REY,1649,Spain,-5.7841342935775435,42.091530013944606
67130,493919,MORALES DEL REY,1650,Spain,-5.7841342935775435,42.091530013944606
67131,493919,MORALES DEL REY,1590,Spain,-5.7841342935775435,42.091530013944606
67132,493919,MORALES DEL REY,1529,Spain,-5.7841342935775435,42.091530013944606
67133,493919,MORALES DEL REY,1468,Spain,-5.7841342935775435,42.091530013944606
67134,493919,MORALES DEL REY,1651,Spain,-5.7841342935775435,42.091530013944606
67135,493919,MORALES DEL REY,1530,Spain,-5.7841342935775435,42.091530013944606
67136,493919,MORALES DEL REY,1768,Spain,-5.7841342935775435,42.091530013944606
67139,493919,MORALES DEL REY,1710,Spain,-5.7841342935775435,42.091530013944606
67143,493919,MORALES DEL REY,1528,Spain,-5.7841342935775435,42.091530013944606
67150,493919,MORALES DEL REY,1709,Spain,-5.7841342935775435,42.091530013944606
67161,493919,MORALES DEL REY,1232,Spain,-5.7841342935775435,42.091530013944606
67182,516354,CONTIENSA,1410,Spain,-5.9339642968050645,41.07924780876002
67183,516354,CONTIENSA,1351,Spain,-5.9339642968050645,41.07924780876002
67184,516354,CONTIENSA,878,Spain,-5.9339642968050645,41.07924780876002
67185,516354,CONTIENSA,877,Spain,-5.9339642968050645,41.07924780876002
67186,516354,CONTIENSA,819,Spain,-5.9339642968050645,41.07924780876002
67190,516354,CONTIENSA,1539,Spain,-5.9339642968050645,41.07924780876002
67193,516354,CONTIENSA,818,Spain,-5.9339642968050645,41.07924780876002
67196,516354,CONTIENSA,1411,Spain,-5.9339642968050645,41.07924780876002
67203,516354,CONTIENSA,885,Spain,-5.9339642968050645,41.07924780876002
67223,516354,CONTIENSA,1599,Spain,-5.9339642968050645,41.07924780876002
67224,490711,MORLA,2070,Spain,-6.251283469317723,42.22431106957231
67225,490711,MORLA,2247,Spain,-6.251283469317723,42.22431106957231
67226,490711,MORLA,2188,Spain,-6.251283469317723,42.22431106957231
67227,490711,MORLA,2129,Spain,-6.251283469317723,42.22431106957231
67228,490711,MORLA,2076,Spain,-6.251283469317723,42.22431106957231
67231,490711,MORLA,2077,Spain,-6.251283469317723,42.22431106957231
67232,490711,MORLA,2016,Spain,-6.251283469317723,42.22431106957231
67236,490711,MORLA,2879,Spain,-6.251283469317723,42.22431106957231
67260,490711,MORLA,2015,Spain,-6.251283469317723,42.22431106957231
67262,490711,MORLA,2017,Spain,-6.251283469317723,42.22431106957231
67274,490711,MORLA,2248,Spain,-6.251283469317723,42.22431106957231
67279,504515,PUENTE PINO,954,Spain,-6.183335188608984,41.57647403426339
67280,504515,PUENTE PINO,895,Spain,-6.183335188608984,41.57647403426339
67281,504515,PUENTE PINO,955,Spain,-6.183335188608984,41.57647403426339
67282,504515,PUENTE PINO,836,Spain,-6.183335188608984,41.57647403426339
67286,504515,PUENTE PINO,896,Spain,-6.183335188608984,41.57647403426339
67298,504515,PUENTE PINO,956,Spain,-6.183335188608984,41.57647403426339
67301,504515,PUENTE PINO,947,Spain,-6.183335188608984,41.57647403426339
67315,498012,BRETO,949,Spain,-5.764213150360997,41.874128464921455
67316,498012,BRETO,894,Spain,-5.764213150360997,41.874128464921455
67327,498012,BRETO,895,Spain,-5.764213150360997,41.874128464921455
67368,484324,CERVERA (EMBALSE),2133,Spain,-4.52449260000405,42.867830976026326
67369,484324,CERVERA (EMBALSE),2302,Spain,-4.52449260000405,42.867830976026326
67370,484324,CERVERA (EMBALSE),2250,Spain,-4.52449260000405,42.867830976026326
67371,484324,CERVERA (EMBALSE),2073,Spain,-4.52449260000405,42.867830976026326
67372,484324,CERVERA (EMBALSE),2251,Spain,-4.52449260000405,42.867830976026326
67373,484324,CERVERA (EMBALSE),2310,Spain,-4.52449260000405,42.867830976026326
67374,484324,CERVERA (EMBALSE),2191,Spain,-4.52449260000405,42.867830976026326
67375,484324,CERVERA (EMBALSE),2135,Spain,-4.52449260000405,42.867830976026326
67379,484324,CERVERA (EMBALSE),2074,Spain,-4.52449260000405,42.867830976026326
67385,484324,CERVERA (EMBALSE),2192,Spain,-4.52449260000405,42.867830976026326
67388,484324,CERVERA (EMBALSE),2131,Spain,-4.52449260000405,42.867830976026326
67389,484324,CERVERA (EMBALSE),2134,Spain,-4.52449260000405,42.867830976026326
67403,484324,CERVERA (EMBALSE),2015,Spain,-4.52449260000405,42.867830976026326
67411,484324,CERVERA (EMBALSE),2132,Spain,-4.52449260000405,42.867830976026326
67421,484324,CERVERA (EMBALSE),2072,Spain,-4.52449260000405,42.867830976026326
67423,484324,CERVERA (EMBALSE),2756,Spain,-4.52449260000405,42.867830976026326
67424,483257,CAMPORREDONDO (EMBALSE),2251,Spain,-4.743274424150735,42.89708088834769
67425,483257,CAMPORREDONDO (EMBALSE),2363,Spain,-4.743274424150735,42.89708088834769
67426,483257,CAMPORREDONDO (EMBALSE),2310,Spain,-4.743274424150735,42.89708088834769
67427,483257,CAMPORREDONDO (EMBALSE),2134,Spain,-4.743274424150735,42.89708088834769
67429,483257,CAMPORREDONDO (EMBALSE),2362,Spain,-4.743274424150735,42.89708088834769
67430,483257,CAMPORREDONDO (EMBALSE),2191,Spain,-4.743274424150735,42.89708088834769
67435,483257,CAMPORREDONDO (EMBALSE),2192,Spain,-4.743274424150735,42.89708088834769
67437,483257,CAMPORREDONDO (EMBALSE),2193,Spain,-4.743274424150735,42.89708088834769
67439,483257,CAMPORREDONDO (EMBALSE),2133,Spain,-4.743274424150735,42.89708088834769
67443,483257,CAMPORREDONDO (EMBALSE),2250,Spain,-4.743274424150735,42.89708088834769
67453,483257,CAMPORREDONDO (EMBALSE),2252,Spain,-4.743274424150735,42.89708088834769
67475,496669,ARLANZON (EMBALSE),1954,Spain,-3.3382662354322084,42.27154806082667
67476,496669,ARLANZON (EMBALSE),2191,Spain,-3.3382662354322084,42.27154806082667
67477,496669,ARLANZON (EMBALSE),2131,Spain,-3.3382662354322084,42.27154806082667
67478,496669,ARLANZON (EMBALSE),2013,Spain,-3.3382662354322084,42.27154806082667
67479,496669,ARLANZON (EMBALSE),1953,Spain,-3.3382662354322084,42.27154806082667
